GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADU001,ADV001,ADV002,ADX001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AEM001,AEM002,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE4001,AE5001
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",1542,0,0,739,741,0,0,35,27,1480,0,62,45,2,47,,0,0,251,0,4,0,0,0,4,74,0,0,86,69,0,0,155,0,155,0,351,0,0,0,,,,0,0,,,,0,,0,,0,,0,,,0,0,0,0,30,131,142,114,86,98,76,50,32,9,4,1,1,0,0,15,121,149,114,95,122,77,38,20,10,5,2,0,0,0,774,768,45,252,291,228,181,220,153,88,52,19,9,3,1,0,0,0,0
"G0100670","1850","Alabama","010","Henry","0670","Henry",9019,0,0,3549,3227,1,0,1157,1085,6776,1,2242,192,50,242,,58,28,1142,0,20,3,0,0,21,411,5,115,472,316,0,0,788,0,788,0,3234,10,13,0,,,,0,0,,,,0,,13,,0,,0,,,0,0,0,0,122,689,760,633,568,807,471,353,179,96,19,6,3,1,0,119,652,706,612,551,716,432,296,129,60,24,13,0,2,0,4707,4312,241,1341,1466,1245,1119,1523,903,649,308,156,43,19,3,3,0,0,0
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",14088,0,0,5931,5823,20,22,1155,1137,11754,42,2292,336,81,417,,104,33,2000,0,19,1,0,0,19,453,1,40,965,684,0,0,1649,0,1649,0,4114,10,21,0,,,,0,0,,,,0,,10,,1,,0,,,0,0,0,0,196,1103,1170,1175,745,1173,642,425,258,154,45,16,3,0,1,208,934,1094,990,851,1280,727,478,224,130,48,14,2,2,0,7106,6982,404,2037,2264,2165,1596,2453,1369,903,482,284,93,30,5,2,1,1,0
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",8989,0,0,3452,3262,2,6,1077,1190,6714,8,2267,242,67,309,,42,13,1140,0,14,0,0,0,14,350,0,0,599,444,0,0,1043,0,1043,0,2174,22,9,0,,,,0,0,,,,0,,6,,3,,0,,,0,0,0,0,153,599,818,557,611,698,479,262,172,113,51,12,6,0,0,148,610,800,542,579,797,411,261,176,80,36,14,3,1,0,4531,4458,301,1209,1618,1099,1190,1495,890,523,348,193,87,26,9,1,0,0,0
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",17172,0,0,5618,5479,23,37,3048,2967,11097,60,6015,357,144,501,,109,98,1868,0,31,8,0,0,33,909,12,283,920,819,0,0,1739,0,1739,0,4542,106,11,1,,,,1,0,,,,0,,19,,3,,0,,,0,0,0,0,251,1167,1272,1271,1015,1476,916,606,397,196,88,24,7,3,0,250,1184,1287,1223,1078,1437,856,565,341,175,67,16,2,2,0,8689,8483,501,2351,2559,2494,2093,2913,1772,1171,738,371,155,40,9,5,0,1,0
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",15258,0,0,4290,4052,40,24,3250,3602,8342,64,6852,243,166,409,,108,163,1469,0,34,1,0,0,34,728,1,41,689,582,0,0,1271,0,1271,0,2671,26,11,2,,,,0,0,,,,0,,14,,8,,0,,,0,0,0,0,209,1022,1157,1099,944,1345,730,501,330,162,50,15,6,4,6,199,1045,1135,1090,999,1339,764,535,323,167,54,21,3,1,3,7580,7678,408,2067,2292,2189,1943,2684,1494,1036,653,329,104,36,9,5,9,1,1
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",16483,0,0,4208,4191,11,10,3982,4081,8399,21,8063,218,234,452,,114,190,1429,0,28,5,0,0,28,665,10,290,792,682,0,0,1474,0,1474,0,3235,10,8,1,,,,0,0,,,,0,,11,,7,,0,,,0,0,0,0,218,1154,1235,1162,973,1341,900,555,367,183,76,28,7,2,0,234,1174,1211,1117,1018,1431,843,563,370,208,81,27,2,3,0,8201,8282,452,2328,2446,2279,1991,2772,1743,1118,737,391,157,55,9,5,0,1,0
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",21915,0,0,3814,3444,8,0,7355,7294,7258,8,14649,110,252,362,,75,145,1354,0,18,3,0,0,18,466,3,150,516,496,0,0,1012,0,1011,1,2989,52,11,2,,,,1,0,,,,0,,19,,3,,0,,,0,0,0,0,186,1604,1696,1544,1154,1981,1352,805,484,262,87,13,2,2,5,176,1514,1696,1457,1177,1940,1307,755,378,236,76,16,5,4,1,11177,10738,362,3118,3392,3001,2331,3921,2659,1560,862,498,163,29,7,6,6,1,0
"G0100870","1850","Alabama","010","Macon","0870","Macon",26898,0,0,5913,5373,8,8,7736,7860,11286,16,15596,253,383,636,,32,37,1849,0,16,12,0,0,22,568,30,784,880,818,0,0,1698,0,1698,0,6756,41,13,0,,,,0,0,,,,0,,12,,2,,0,,,0,0,1,0,295,2033,2229,1991,1370,2481,1670,860,432,199,50,16,5,0,26,341,2104,2176,1862,1559,2406,1477,728,347,151,46,17,4,1,22,13657,13241,636,4137,4405,3853,2929,4887,3147,1588,779,350,96,33,9,1,48,0,1
"G0100890","1850","Alabama","010","Madison","0890","Madison",26427,2863,0,6061,5876,77,87,7107,7219,11937,164,14326,337,378,715,,164,243,2046,0,30,2,0,0,30,800,5,130,1181,1080,0,0,2261,0,2260,1,3932,90,10,0,,,,1,0,,,,0,,20,,12,,0,,,0,0,0,0,353,1748,1924,1872,1544,2260,1397,1028,596,349,124,36,7,6,1,369,1841,1885,1810,1598,2266,1371,968,597,320,119,30,5,3,0,13245,13182,722,3589,3809,3682,3142,4526,2768,1996,1193,669,243,66,12,9,1,1,0
