source,target,weight
"Campbell, Alfred Gibbs.","Garrison, William Lloyd",1
"Campbell, Benjamin M.","Garrison, William Lloyd",1
"Capen, Nahum","Garrison, William Lloyd",1
"Capron, Eliab Wilkinson.","Garrison, William Lloyd",1
"Cardozo, T. W.","Garrison, William Lloyd",1
"Carleton, Edmund","Garrison, William Lloyd",1
"Carlile, James.","Garrison, William Lloyd",1
"Carlton, Harriette M.","Garrison, William Lloyd",2
Carolinian.,"Pringle, Edward J.",1
"Carpenter, Mary","Chapman, Maria Weston",13
"Carpenter, Mary","Garrison, William Lloyd",9
"Carpenter, Philip P.","Garrison, William Lloyd",8
"Carpenter, Russell Lant","May, Samuel",1
"Carter, H. W.","May, Samuel",2
"Carter, Robert","Garrison, William Lloyd",2
"Case, Truman.","Garrison, William Lloyd",1
"Cash, Mary Ann.","Chapman, Maria Weston",1
"Cavner, George W.","Garrison, William Lloyd",1
"Cawdrey, H.","Garrison, William Lloyd",1
"Cecearini, G.","Garrison, William Lloyd",1
"Cérisier, L.","Pétion, Alexandre",1
"Chace, Elizabeth Buffum","Chapman, Maria Weston",4
"Chace, Elizabeth Buffum","Garrison, William Lloyd",4
"Chace, Harvey.","Garrison, William Lloyd",1
"Chace, Lucy.","Weston, Lucia",1
"Chace, William M.","Garrison, William Lloyd",1
"Chace, William M.","Weston, Anne Warren",1
"Chamberlain, Alice Ingersoll.","Garrison, William Lloyd",1
"Chamberlain, Daniel Henry","Garrison, William Lloyd",5
"Chamerovzow, Louis Alexis.","Chapman, Maria Weston",1
"Chamerovzow, Louis Alexis.","Garrison, William Lloyd",6
"Chandler, John B.","Garrison, William Lloyd",1
"Chandler, Thomas","Garrison, William Lloyd",2
"Chandler, William E.","Garrison, William Lloyd",7
"Channing, W. H.","May, Samuel",2
"Channing, William Ellery","Garrison, William Lloyd",1
"Channing, William F.","Channing, William F.",1
"Channing, William F.","Garrison, William Lloyd",4
"Channing, William F.","Weston, Anne Warren",1
"Chapin, Henry","Garrison, William Lloyd",1
"Chapman, Ann Greene","Weston, Deborah",1
"Chapman, Edwin.","May, Samuel",2
"Chapman, Edwin.","Weston, Anne Warren",1
"Chapman, Elizabeth B.","May, Samuel",1
"Chapman, Henry Grafton","Chapman, Maria Weston",2
"Chapman, Henry Grafton","Weston, Anne Warren",1
"Chapman, Henry Grafton","Weston, Deborah",9
"Chapman, Maria Weston",Arnold,1
"Chapman, Maria Weston","Ball, Lucy M.",1
"Chapman, Maria Weston","Ball, Martha V.",1
"Chapman, Maria Weston","Bassett, William",1
"Chapman, Maria Weston","Benson, George William",1
"Chapman, Maria Weston","Borden, Nathaniel B.",1
"Chapman, Maria Weston","Channing, Walter",1
"Chapman, Maria Weston","Chapman, Henry Grafton",3
"Chapman, Maria Weston","Chapman, Maria Weston",4
"Chapman, Maria Weston","Child, David Lee",20
"Chapman, Maria Weston",Clarke,1
"Chapman, Maria Weston","Clarkson, Thomas",1
"Chapman, Maria Weston","Collins, John A.",1
"Chapman, Maria Weston","Cropper, Anne",1
"Chapman, Maria Weston","Davis, Edward Morris",1
"Chapman, Maria Weston","Dicey, Anne Greene Chapman",13
"Chapman, Maria Weston",E.G.A.,1
"Chapman, Maria Weston","Estlin, J. B.",18
"Chapman, Maria Weston","Estlin, Mary Anne",48
"Chapman, Maria Weston","French, Rodney",1
"Chapman, Maria Weston","Garrison, Francis Jackson",7
"Chapman, Maria Weston","Garrison, Helen Eliza",1
"Chapman, Maria Weston","Garrison, William Lloyd",51
"Chapman, Maria Weston","Gibbons, J. S.",1
"Chapman, Maria Weston","Grimké, Angelina Emily",1
"Chapman, Maria Weston","Harring, Harro",1
"Chapman, Maria Weston","Hinkly, Eugene B.",1
"Chapman, Maria Weston","Hunt, Sarah H.",1
"Chapman, Maria Weston","Jackson, Francis",4
"Chapman, Maria Weston",Jenny.,1
"Chapman, Maria Weston","Laugel, Auguste",1
